Ganai,Kurnai,"bag (see A82-milk M.110=knot, in wood)",breast,47,N,bark,,,
Ganai,Kurnai,"bag (see A82-milk M.110=knot, in wood)",breast,47,N,bang,,,
Ganai,Kurnai,"bag (see A82-milk M.110=knot, in wood)",breast,47,N,bâk,,,
Yabula-Yabula,Yabula-Yabula,bōmir ,breast,82,N,,,,
Dhudhuroa,Dhudhuroa,birriwa,breast,82,N,birriwa,breast,biriwa,BREAST
Dhudhuroa,Dhudhuroa,birriwa,breast,82,,birriwa,breasts,piriwa,
Darkinyung,Darkinyung,ŋapaŋ,breast,2308,N,ngabang,"breasts, breastmilk",ŋapaŋ,BREAST
Darkinyung,Darkinyung,ŋabaŋ,breast,2308,N,ŋabaŋ,"milk, breast",ŋabaŋ,BREAST
Warrnambool,Warrnambool,ŋamany,breast,2308,N,ngamayn,"breast, milk",ŋamaɲ,BREAST
Warrnambool,Warrnambool,ŋapaŋ,breast,2308,N,ngapang,"breast, milk",ŋapaŋ,BREAST
Wemba-Wemba,Wemba-Wemba,kurrmpuk,breast,2308,Npos,kurrmbuk,"breast, milk (her)",kurmpuk,BREAST
Southern Ngarigu,Ngarigu,,breast,2308,,minggung,"milk, breast",,
Woiwurrung,Woiwurrung,pirrm-pirrm,breast,2308,,birrm-birrm,"breast, milk",pirm-pirm,
Woiwurrung,Woiwurrung,tati,brother,2349,,tati,(step)brother,tati,BROTHER
Sydney,Dharuk,papana,brother,2349,N,babana,brother,papana,BROTHER
Darkinyung,Darkinyung,piŋayi,brother,2349,N,bingayi,brother,piŋaji,BROTHER
Thoerwel,Dharawal,ngabong,brother,2349,N,ngabong,brother,ngabong,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
DG?,Dharuk,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
Dharuk,Dharuk,wåru-ndya,brother,2349,N,wåru-ndya,brother,wåɹu-nɟa,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
DgR,Thanggati,båbbi-na,brother,2349,N,båbbi-na,brother,båbbi-na,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
BB,Iyora,gu-mal,brother,2349,N,gu-mal,brother,gu-mal,BROTHER
BB,Iyora,gu-mal,brother,2349,N,gu-mal,brother,gu-mal,BROTHER
DgR,Thanggati,båbbi-na,brother,2349,N,båbbi-na,brother,båbbi-na,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
DgR,Thanggati,båbbi-na,brother,2349,N,båbbi-na,brother,båbbi-na,BROTHER
DgR,Thanggati,ŋaya båbina,brother,2349,phrase,ŋaya båbina,"brother, ...",ŋaja båbina,BROTHER
BB,Iyora,gawal-gang,brother,2349,N,gawal-gang,brother,gawal-gang,BROTHER
BB,Iyora,gawal-gang,brother,2349,N,gawal-gang,brother,gawal-gang,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
BB,Iyora,gawal-gang,brother,2349,N,gawal-gang,brother,gawal-gang,BROTHER
BB,Iyora,ngará-ma-da,brother,2349,N,ngará-ma-da,brother,ngaɹá-ma-da,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
BB,Iyora,baba-na,brother,2349,N,baba-na,brother,baba-na,BROTHER
Karree,Karree,bingai,brother,2349,N,bingai,brother,bingai,BROTHER
LD,Awabakal,numayin,brother,2349,N,numayin,brother,numajin,BROTHER
Gdg?,Katthang,bingi,brother,2349,N,bingi,brother,bingi,BROTHER
NrN,NrN (Steele Source),bangai,brother,2349,N,bangai,brother,bangai,BROTHER
Darkinyung,Darkinyung,bingai,brother,2349,N,bingai,brother,bingai,BROTHER
NrN,NrN (Steele Source),bing-ngai,brother,2349,N,bing-ngai,brother,bing-ngai,BROTHER
Gdg,Katthang,bíngai,brother,2349,N,bíngai,brother,bíngai,BROTHER
Darkinyung,Darkinyung,bingai,brother,2349,N,bingai,brother,bingai,BROTHER
Darkinyung,Darkinyung,bingayi-gali,brother,2349,N,bingayi-gali,brother,bingaji-gali,BROTHER
Darkinyung,Darkinyung,bingayi-gala,brother,2349,N,bingayi-gala,brother,bingaji-gala,BROTHER
Darkinyung,Darkinyung,bingayi,brother,2349,N,bingayi,brother,bingaji,BROTHER
Awabakal,Awabakal,bing-Gai,brother,2349,N,bing-Gai,brother,bing-Gai,BROTHER
Awabakal,Awabakal,bing-gai,brother,2349,N,bing-gai,brother,bing-gai,BROTHER
Awabakal,Awabakal,gambal,brother,2349,N,gambal,brother,gambal,BROTHER
Wonarua,Wonnarua,binGi,brother,2349,N,binGi,brother,binGi,BROTHER
Gundungurra,Gundungurra,dyid-dyang,brother,2349,N,dyid-dyang,brother,ɟid-ɟang,BROTHER
Gundungurra,Gundungurra,gugaying,brother,2349,N,gugaying,brother,gugajing,BROTHER
Gga/Ngwl,Ngunawal,dyid-dyang,brother,2349,N,dyid-dyang,brother,ɟid-ɟang,BROTHER
Gga/Ngwl,Ngunawal,gugany,brother,2349,N,gugany,brother,gugaɲ,BROTHER
Dharawal,Dharawal,dya-dyang,brother,2349,N,dya-dyang,brother,ɟa-ɟang,BROTHER
Ngarigo,Ngarigu,dyid-dyang,brother,2349,N,dyid-dyang,brother,ɟid-ɟang,BROTHER
Ngarigo,Ngarigu,gugang,brother,2349,N,gugang,brother,gugang,BROTHER
Dharawal,Dharawal,dyagga-mara-nhu,brother,2349,noun,dyagga-mara-nhu,brother of,ɟagga-maɹa-n̪u,BROTHER
Dharawal,Dharawal,dyadya-mara,brother,2349,N,dyadya-mara,brother,ɟaɟa-maɹa,BROTHER
Dharawal,Dharawal,dyadya-mari-nhung,brother,2349,noun,dyadya-mari-nhung,brother of,ɟaɟa-maɹi-n̪ung,BROTHER
Dharawal,Dharawal,dyadya-mara,brother,2349,N,dyadya-mara,brother,ɟaɟa-maɹa,BROTHER
Dhurga,Dhurga,dha-dha-dha,brother,2349,N,dha-dha-dha,brother,d̪a-d̪a-d̪a,BROTHER
Dhurga,Dhurga,mayaga,brother,2349,N,mayaga,brother,majaga,BROTHER
Dharawal,Dharawal,bundi-nma dha,brother,2349,N,bundi-nma dha,brother,bundi-nma d̪a,BROTHER
Dharuk,Dharuk,bobbina,brother,2349,N,bobbina,brother,bobbina,BROTHER
Ngarigu,Ngarigu,dhugung,brother,2349,N,dhugung,brother,d̪ugung,BROTHER
Ngarrindjeri,Ngarrindjeri,kila,brother,2349,N,kila,brother,kila,BROTHER
Yitha-Yitha,Yitha-Yitha,gan,brother,2349,N,gan,brother,gan,BROTHER
Keramin,Keramin,ko:k,brother,2349,N,ko:k,brother,koːk,BROTHER
The Canberra Language,Ngunawal,tyitya(ŋ),brother,2349,N,dyidya(ng),brother,cica(ŋ),BROTHER
Dharawal,Dharawal,tyatya(ŋ),brother,2349,N,jaja(ng),brother,caca(ŋ),BROTHER
Dhurga,Dhurga,tyatya(ŋ),brother,2349,N,jaja(ng),brother,caca(ŋ),BROTHER
Wathawurrung,Wathawurrung,koki,brother,2349,N,koki,brother,koki,BROTHER
Wathawurrung,Wathawurrung,tati,brother,2349,N,tati,brother,tati,BROTHER
Wathawurrung,Wathawurrung,wanung,brother,2349,N,wanung,brother,wanung,BROTHER
Colac,Kolakngat,kraompweet,brother,2349,N,kraompweet (d)16,brother,kɹaompweːt,BROTHER
Colac,Kolakngat,derda (tu),brother,2349,N,derda (tu),brother,deɖa (tu),BROTHER
Dharawal,Dharawal,tyatya(ŋ),brother,2349,N,ᶁaᶁa(ŋ),brother,caca(ŋ),BROTHER
Wemba-Wemba,Wemba-Wemba,kutniŋ-kurriŋek,brother,2349,Npos,kutning'-kurringek,brother,kutniŋ-kuriŋek,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wurdi,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wartietsh,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wartai,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wardai,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wardai,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wiirdai,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,kokon,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wahr-tai,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wadi,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wardi,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wardie,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wardii,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,warrti,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,warti,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wordi,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wordi,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wardiitch,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wardii,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,wartee,brother,2349,N,wardii,brother,waʈeː,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,marti,brother,koko,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,koko,brother,koko,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,kogu,brother,koko,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,poorpep,brother,koko,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,wardai,brother,koko,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,ko-ko-gnui,brother,koko,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,cuoghuon,brother,koko,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,kokrer,brother,koko,BROTHER
Keerraywoorroong,Keerraywoorroong,koko,brother,2349,N,cogo,brother,koko,BROTHER
Boonwerong,Boonwurrung,dan.no,brother,2349,,dan.no,brother,dan.no,BROTHER
Yitha Yitha,Yitha-Yitha,kan,brother,2349,,kan,B,kan,BROTHER
Thawa,Thawa,mantyi-,brother,2349,,mantyi-,B,manci-,BROTHER
Thawa,Thawa,mantyi-,brother,2349,,mantyi-,B,manci-,BROTHER
Gundungurra,Gundungurra,tyityuŋ,brother,2349,,tyityung,B,cicuŋ,BROTHER
Darkinyung,Darkinyung,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Darkinyung,Darkinyung,papiŋ,brother,2349,,paping,B,papiŋ,BROTHER
Eora,Iyora,papana,brother,2349,,papana,B,papana,BROTHER
Ngayawung,Ngayawang,marrka,brother,2349,,marrka,B,marka,BROTHER
Kattang,Katthang,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dunghutti,Thanggati,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dhurga,Dhurga,wawarinu,brother,2349,,wawarinu,B,wawaɹinu,BROTHER
Woiwurrung,Woiwurrung,tati,brother,2349,,tati,B,tati,BROTHER
Wathawurrung,Wathawurrung,meli,brother,2349,,meli,B,meli,BROTHER
Wathawurrung,Wathawurrung,tati,brother,2349,,tati,B,tati,BROTHER
Wathawurrung,Wathawurrung,wanuŋ,brother,2349,,wanung,B,wanuŋ,BROTHER
Dhauwurd Wurrung,Gunditjmara,wartayi,brother,2349,,wartayi,B,waʈaji,BROTHER
Dhauwurd Wurrung,Gunditjmara,wartaty,brother,2349,,wartaty,B,waʈac,BROTHER
Wathawurrung,Wathawurrung,paRatyi,brother,2349,,paRatyi,B,paRaci,BROTHER
Wathawurrung,Wathawurrung,koki,brother,2349,,koki,B,koki,BROTHER
Darkinyung,Darkinyung,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dharawal,Dharawal,tyatyaŋ,brother,2349,,tyatyang,B,cacaŋ,BROTHER
Ngarrindjeri,Ngarrindjeri,tarti,brother,2349,,tarti,B,taʈi,BROTHER
Ngarigu,Ngarigu,tyityaŋ,brother,2349,,tyityang,B,cicaŋ,BROTHER
Djabwurrung,Tjapwurrung,wawi,brother,2349,,wawi,B,wawi,BROTHER
Djabwurrung,Tjapwurrung,kuti,brother,2349,,kuti,B,kuti,BROTHER
Djabwurrung,Tjapwurrung,wartityi,brother,2349,,wartityi,B,waʈici,BROTHER
Djabwurrung,Tjapwurrung,yanyak wa,brother,2349,,yanyak wa,B,jaɲak wa,BROTHER
Djabwurrung,Tjapwurrung,wartikuri,brother,2349,,wartikuri,B,waʈikuɹi,BROTHER
Djabwurrung,Tjapwurrung,yanyak kut,brother,2349,,yanyak kut,B,jaɲak kut,BROTHER
Djabwurrung,Tjapwurrung,kuti,brother,2349,,kuti,B,kuti,BROTHER
Djabwurrung,Tjapwurrung,yanik kot,brother,2349,,yanik kot,B,janik kot,BROTHER
Djabwurrung,Tjapwurrung,wawi,brother,2349,,wawi,B,wawi,BROTHER
Dharug,Dharuk,papina,brother,2349,,papina,B,papina,BROTHER
Mardidjali,Mardidjali,wawu,brother,2349,,wawu,B,wawu,BROTHER
Wemba Wemba,Wemba-Wemba,wawu,brother,2349,,wawu,B,wawu,BROTHER
Wemba Wemba,Wemba-Wemba,palaRu,brother,2349,,palaRu,B,palaRu,BROTHER
Djabwurrung,Tjapwurrung,waw-,brother,2349,,waw-,B,waw-,BROTHER
Kureinji,Keramin,kuki,brother,2349,,kuki,B,kuki,BROTHER
Woiwurrung,Woiwurrung,paŋyu,brother,2349,,pangyu,B,paŋju,BROTHER
Ngarkat,Ngarkat,kut-,brother,2349,,kut-,B,kut-,BROTHER
Eora,Iyora,kumal,brother,2349,,kumal,B,kumal,BROTHER
Yitha Yitha,Yitha-Yitha,kan,brother,2349,,kan,B,kan,BROTHER
Thawa,Thawa,mantyi-,brother,2349,,mantyi-,B,manci-,BROTHER
Thawa,Thawa,mantyi-,brother,2349,,mantyi-,B,manci-,BROTHER
Gundungurra,Gundungurra,tyityuŋ,brother,2349,,tyityung,B,cicuŋ,BROTHER
Darkinyung,Darkinyung,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Darkinyung,Darkinyung,papiŋ,brother,2349,,paping,B,papiŋ,BROTHER
Eora,Iyora,papana,brother,2349,,papana,B,papana,BROTHER
Ngayawung,Ngayawang,marrka,brother,2349,,marrka,B,marka,BROTHER
Kattang,Katthang,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dunghutti,Thanggati,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dhurga,Dhurga,wawarinu,brother,2349,,wawarinu,B,wawaɹinu,BROTHER
Woiwurrung,Woiwurrung,tati,brother,2349,,tati,B,tati,BROTHER
Wathawurrung,Wathawurrung,meli,brother,2349,,meli,B,meli,BROTHER
Wathawurrung,Wathawurrung,tati,brother,2349,,tati,B,tati,BROTHER
Wathawurrung,Wathawurrung,wanuŋ,brother,2349,,wanung,B,wanuŋ,BROTHER
Dhauwurd Wurrung,Gunditjmara,wartayi,brother,2349,,wartayi,B,waʈaji,BROTHER
Dhauwurd Wurrung,Gunditjmara,wartaty,brother,2349,,wartaty,B,waʈac,BROTHER
Wathawurrung,Wathawurrung,paRatyi,brother,2349,,paRatyi,B,paRaci,BROTHER
Wathawurrung,Wathawurrung,koki,brother,2349,,koki,B,koki,BROTHER
Darkinyung,Darkinyung,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dharawal,Dharawal,tyatyaŋ,brother,2349,,tyatyang,B,cacaŋ,BROTHER
Ngarrindjeri,Ngarrindjeri,tarti,brother,2349,,tarti,B,taʈi,BROTHER
Ngarigu,Ngarigu,tyityaŋ,brother,2349,,tyityang,B,cicaŋ,BROTHER
Djabwurrung,Tjapwurrung,wawi,brother,2349,,wawi,B,wawi,BROTHER
Djabwurrung,Tjapwurrung,kuti,brother,2349,,kuti,B,kuti,BROTHER
Djabwurrung,Tjapwurrung,wartityi,brother,2349,,wartityi,B,waʈici,BROTHER
Djabwurrung,Tjapwurrung,yanyak wa,brother,2349,,yanyak wa,B,jaɲak wa,BROTHER
Djabwurrung,Tjapwurrung,wartikuri,brother,2349,,wartikuri,B,waʈikuɹi,BROTHER
Djabwurrung,Tjapwurrung,yanyak kut,brother,2349,,yanyak kut,B,jaɲak kut,BROTHER
Djabwurrung,Tjapwurrung,kuti,brother,2349,,kuti,B,kuti,BROTHER
Djabwurrung,Tjapwurrung,yanik kot,brother,2349,,yanik kot,B,janik kot,BROTHER
Djabwurrung,Tjapwurrung,wawi,brother,2349,,wawi,B,wawi,BROTHER
Dharug,Dharuk,papina,brother,2349,,papina,B,papina,BROTHER
Mardidjali,Mardidjali,wawu,brother,2349,,wawu,B,wawu,BROTHER
Wemba Wemba,Wemba-Wemba,wawu,brother,2349,,wawu,B,wawu,BROTHER
Wemba Wemba,Wemba-Wemba,palaRu,brother,2349,,palaRu,B,palaRu,BROTHER
Djabwurrung,Tjapwurrung,waw-,brother,2349,,waw-,B,waw-,BROTHER
Kureinji,Keramin,kuki,brother,2349,,kuki,B,kuki,BROTHER
Woiwurrung,Woiwurrung,paŋyu,brother,2349,,pangyu,B,paŋju,BROTHER
Ngarkat,Ngarkat,kut-,brother,2349,,kut-,B,kut-,BROTHER
Eora,Iyora,kumal,brother,2349,,kumal,B,kumal,BROTHER
Yitha Yitha,Yitha-Yitha,kan,brother,2349,,kan,B,kan,BROTHER
Thawa,Thawa,mantyi-,brother,2349,,mantyi-,B,manci-,BROTHER
Thawa,Thawa,mantyi-,brother,2349,,mantyi-,B,manci-,BROTHER
Gundungurra,Gundungurra,tyityuŋ,brother,2349,,tyityung,B,cicuŋ,BROTHER
Darkinyung,Darkinyung,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Darkinyung,Darkinyung,papiŋ,brother,2349,,paping,B,papiŋ,BROTHER
Eora,Iyora,papana,brother,2349,,papana,B,papana,BROTHER
Ngayawung,Ngayawang,marrka,brother,2349,,marrka,B,marka,BROTHER
Kattang,Katthang,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dunghutti,Thanggati,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dhurga,Dhurga,wawarinu,brother,2349,,wawarinu,B,wawaɹinu,BROTHER
Woiwurrung,Woiwurrung,tati,brother,2349,,tati,B,tati,BROTHER
Wathawurrung,Wathawurrung,meli,brother,2349,,meli,B,meli,BROTHER
Wathawurrung,Wathawurrung,tati,brother,2349,,tati,B,tati,BROTHER
Wathawurrung,Wathawurrung,wanuŋ,brother,2349,,wanung,B,wanuŋ,BROTHER
Dhauwurd Wurrung,Gunditjmara,wartayi,brother,2349,,wartayi,B,waʈaji,BROTHER
Dhauwurd Wurrung,Gunditjmara,wartaty,brother,2349,,wartaty,B,waʈac,BROTHER
Wathawurrung,Wathawurrung,paRatyi,brother,2349,,paRatyi,B,paRaci,BROTHER
Wathawurrung,Wathawurrung,koki,brother,2349,,koki,B,koki,BROTHER
Darkinyung,Darkinyung,piŋay,brother,2349,,pingay,B,piŋaj,BROTHER
Dharawal,Dharawal,tyatyaŋ,brother,2349,,tyatyang,B,cacaŋ,BROTHER
Ngarrindjeri,Ngarrindjeri,tarti,brother,2349,,tarti,B,taʈi,BROTHER
Ngarigu,Ngarigu,tyityaŋ,brother,2349,,tyityang,B,cicaŋ,BROTHER
Djabwurrung,Tjapwurrung,wawi,brother,2349,,wawi,B,wawi,BROTHER
Djabwurrung,Tjapwurrung,kuti,brother,2349,,kuti,B,kuti,BROTHER
Djabwurrung,Tjapwurrung,wartityi,brother,2349,,wartityi,B,waʈici,BROTHER
Djabwurrung,Tjapwurrung,yanyak wa,brother,2349,,yanyak wa,B,jaɲak wa,BROTHER
Djabwurrung,Tjapwurrung,wartikuri,brother,2349,,wartikuri,B,waʈikuɹi,BROTHER
Djabwurrung,Tjapwurrung,yanyak kut,brother,2349,,yanyak kut,B,jaɲak kut,BROTHER
Djabwurrung,Tjapwurrung,kuti,brother,2349,,kuti,B,kuti,BROTHER
Djabwurrung,Tjapwurrung,yanik kot,brother,2349,,yanik kot,B,janik kot,BROTHER
Djabwurrung,Tjapwurrung,wawi,brother,2349,,wawi,B,wawi,BROTHER
Dharug,Dharuk,papina,brother,2349,,papina,B,papina,BROTHER
Mardidjali,Mardidjali,wawu,brother,2349,,wawu,B,wawu,BROTHER
Wemba Wemba,Wemba-Wemba,wawu,brother,2349,,wawu,B,wawu,BROTHER
Wemba Wemba,Wemba-Wemba,palaRu,brother,2349,,palaRu,B,palaRu,BROTHER
Djabwurrung,Tjapwurrung,waw-,brother,2349,,waw-,B,waw-,BROTHER
Kureinji,Keramin,kuki,brother,2349,,kuki,B,kuki,BROTHER
Woiwurrung,Woiwurrung,paŋyu,brother,2349,,pangyu,B,paŋju,BROTHER
Ngarkat,Ngarkat,kut-,brother,2349,,kut-,B,kut-,BROTHER
Eora,Iyora,kumal,brother,2349,,kumal,B,kumal,BROTHER
Woiwurrung,Woiwurrung,tati,brother,2349,,tati,(step)brother,tati,
Keramin,Keramin,ko(:)k / kuk,brother,2349,,ko(:)k / kuk,brother,ko(ː)k / kuk,
Yitha-Yitha,Yitha-Yitha,kan,brother,2349,,gan,brother,kan,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,bramon,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,dhǔn-dhǔng,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,tunn-tunn,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,tandha-gnunert,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,tandhagunert,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,gnuloi,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,tun-dun,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,ḡn̄āī-wand-ye,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,don dong,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,thandhagunert,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,wawin,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,bramun,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,thandhay,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,dandang,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,tandang,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,dhandon,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,tǔndǔng,,,
Ganai,Kurnai,bramon; d̪uŋ-d̪uŋ,brother,176,N,tundung,,,
Buwandik,Buwandik,big buwak,bullock,727,N,big buwak,bullock,big buwak,BULL
Port MacQuarie,Birrpayi,cowan-nerrar,bullock,727,N,cowan-nerrar,bullock,cowan-neraɹ,BULL
Dharuk,Dharuk,dyumaba dyi-lag,bullock,727,N,dyumaba dyi-lag,beef,ɟumaba ɟi-lag,BULL
LD,Awabakal,gidyar-bung,bullock,727,N,gidyar-bung,bullock,giɟaɹ-bung,BULL
Gundungurra,Gundungurra,gulung-gulug,bullock,727,N,gulung-gulug,bullock,gulung-gulug,BULL
Ngaiawang,Ngayawang,noulla,bullock,727,N,noulla,bullock,noulla,BULL
Ngarrindjeri,Ngarrindjeri,windawityeri,bullock,727,N,windawityeri,bullock,windawiceɹi,BULL
Wathawurrung,Wathawurrung,nyirrm-buyerrung,bullock,727,N,nyirrm-buyerrung,bullock,ɲirm-bujerung,BULL
Colac,Kolakngat,tarn ta quorong (r),bullock,727,N,tarn ta quorong (r),bullock,taɳ ta quoɹong (ɹ),BULL
Warrnambool,Warrnambool,pul,bullock,727,N,bul,bull,pul,BULL
Warrnambool,Warrnambool,ŋaranti wiriŋ,bullock,727,N,ngarandi wiring,bullock,ŋaɹanti wiɹiŋ,BULL
Warrnambool,Warrnambool,puram kila wuruŋ,bullock,727,N,puram kila wurung,bullock,puɹam kila wuɹuŋ,BULL
Warrnambool,Warrnambool,tarap nuwiŋ,bullock,727,N,tarap nuwing,beef,taɹap nuwiŋ,BULL
Warrnambool,Warrnambool,worumkil,bullock,727,N,worumkil,bullock,woɹumkil,BULL
Keerraywoorroong,Keerraywoorroong,pool,bullock,727,N,buul,bull,poːl,BULL
Keerraywoorroong,Keerraywoorroong,pool,bullock,727,N,buul,bull,poːl,BULL
Keerraywoorroong,Keerraywoorroong,woorroomkeel,bullock,727,N,wor-ome gil,bullock,woːroːmkeːl,BULL
Keerraywoorroong,Keerraywoorroong,woorroomkeel,bullock,727,N,go-parry-gill,bullock,woːroːmkeːl,BULL
Keerraywoorroong,Keerraywoorroong,woorroomkeel,bullock,727,N,borum kella woorong,bullock,woːroːmkeːl,BULL
Keerraywoorroong,Keerraywoorroong,woorroomkeel,bullock,727,N,murrundie-weering,bullock,woːroːmkeːl,BULL
Keerraywoorroong,Keerraywoorroong,woorroomkeel,bullock,727,N,nurrun-die-guering,bullock,woːroːmkeːl,BULL
Keerraywoorroong,Keerraywoorroong,woorroomkeel,bullock,727,N,wor rome gel we nun,bullock,woːroːmkeːl,BULL
Keerraywoorroong,Keerraywoorroong,tarrapnyoong,bullock,727,N,tarrap nooing,beef,tarapɲoːng,BULL
Chap Wuruong,Tjapwurrung,buul,bullock,727,,buul,bull,buːl,BULL
Kuurn kopan noot,Gunditjmara,buul,bullock,727,,buul,bull,buːl,BULL
Peek whuurong,Pikwurrung,buul,bullock,727,,buul,bull,buːl,BULL
Wemba-Wemba,Wemba-Wemba,tyatəl,bullock,727,N,tyatəl,bullock,catəl,BULL
Thanggatti,Thanggati,pulaŋ,bullock,727,noun,bulang,bullock,pulaŋ,BULL
Boonwerong,Boonwurrung,bulganner,bullock,727,,bulganner,bullock,bulganneɹ,BULL
Katthang,Katthang,pulaŋ pakuwi,bullock,727,,bulang bakuwi,beef,pulaŋ pakuwi,
Katthang,Katthang,pulka:ri,bullock,727,,bulgaari,bull,pulkaːɹi,
Ganai,Kurnai,(Eng. borrowing); buluga,bullock,576,N,boologga (English borrowing),,,
Ganai,Kurnai,(Eng. borrowing); buluga,bullock,576,N,boollugga (English borrowing),,,
Ganai,Kurnai,(Eng. borrowing); buluga,bullock,576,N,pul-lug-er (English borrowing),,,
Ganai,Kurnai,(Eng. borrowing); buluga,bullock,576,N,garn-gǔn,,,
Buwandik,Buwandik,ŋula,camp,366,N,ngula,camp,ŋula,CAMP
Madhimadhi,Mathi-Mathi,la-,camp,366,N,la-,camp,la-,CAMP
Wathawurrung,Wathawurrung,karruŋ,camp,366,N,karrung,camp,karuŋ,CAMP
Bunganditj,Buwandik,ŋu(r)la,camp,366,N,ngu(r)la,camp,ŋu(ɹ)la,CAMP
